form	lemma	POS	morph
རིག་	རིག་	VERB
བཀག་པ་	བཀག་པ་	VERB
ལ་ལུང་	ལ་ལུང་	NO_POS
འགལ་	འགལ་	VERB
མེད་	མེད་	VERB
ཚུལ་	ཚུལ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
རྣམ་རིག་	རྣམ་རིག་	OTHER
གི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
ལ་ལུང་	ལ་ལུང་	NO_POS
རིགས་	རིགས་	NOUN
ཀྱིས་	གིས་	PART
གནོད་	གནོད་	VERB
ཚུལ་	ཚུལ་	NOUN
བཤད་	བཤད་	VERB
དེ་	སྟེ་	PART
ལུང་	ལུང་	NOUN
འགལ་	འགལ་	VERB
མེད་	མེད་	VERB
ཚུལ་	ཚུལ་	NOUN
ལོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
ལུང་དོན་	ལུང་དོན་	OTHER
ལ་	ལ་	PART
དགག་སྒྲུབ་	དགག་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
དང་	དང་	NO_POS
༑		PUNCT
དེས་ན་	དེས་ན་	NO_POS
ལུང་	ལུང་	NOUN
དང་	དང་	NO_POS
འགལ་བ་	འགལ་བ་	VERB
འི་	གི་	PART
ཉེས་པ་	ཉེས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
རང་གཞན་	རང་གཞན་	NOUN
གྱི་	གི་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
དགག་སྒྲུབ་	དགག་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
ཕྱེ་	ཕྱེ་	VERB
སྟེ་	སྟེ་	PART
བཤད་པ་	བཤད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རང་ལུགས་	རང་ལུགས་	NOUN
ཀྱི་	གི་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
འཐད་པ་	འཐད་པ་	VERB
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
དགག་པ་	དགག་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
བདག་	བདག་	PRON
སེམས་	སེམས་	NOUN
བྱེད་པོ་	བྱེད་པོ་	VERB
ཡིན་	ཡིན་	NO_POS
མིན་	མིན་	AUX
གྱི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
ལུང་དོན་	ལུང་དོན་	OTHER
དུ་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
སེམས་	སེམས་	NOUN
གཙོ་བོ་	གཙོ་བོ་	ADJ
ཡིན་	ཡིན་	NO_POS
མིན་	མིན་	AUX
གྱི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
ལུང་དོན་	ལུང་དོན་	OTHER
དུ་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
ས་བཅུ་པ་	ས་བཅུ་པ་	NO_POS
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
མདོ་	མདོ་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བསྟན་པ་	བསྟན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ལངྐར་		NON_WORD
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
མདོ་	མདོ་	NOUN
ལ་	ལ་	PART
