form	lemma	POS	morph
༄༅། །		PUNCT
དབུ་མ་	དབུ་མ་	PROPN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
རང་	རང་	PRON
གི་	གི་	PART
འགྲེལ་བ་	འགྲེལ་བ་	NOUN
རྗེ་	རྗེ་	NO_POS
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ས་	གིས་	PART
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ཕྱེས་པ་	ཕྱེས་པ་	VERB
འི་	གི་	PART
འགྲེལ་བཤད་	འགྲེལ་བཤད་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ལེན་པ་	ལེན་པ་	VERB
ལ་	ལ་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ར་	ལ་	PART
འབད་པ་	འབད་པ་	VERB
འི་	གི་	PART
ངག་	ངག་	NOUN
དོན་	དོན་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཀ་	ཀ་	DET
		
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཁ་	ཁ་	PRON
		
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ལམ་	གམ་	PART
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
ག་	ག་	PRON
		
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
དང་པོ་	དང་པོ་	ADJ
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
འཇུག་	འཇུག་	VERB
འགྲེལ་	འགྲེལ་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
དབུ་	དབུ་	NOUN
ཤོག་	ཤོག་	VERB
གཅིག་	གཅིག་	NUM
མ་དཔེ་	མ་དཔེ་	OTHER
ར་	ལ་	PART
མ་ཚང་	མ་ཚང་	NO_POS
བ་	བ་	ADP
མཚམས་	མཚམས་	NOUN
འདི་	འདི་	DET
ནས་་	ནས་པ་	PART
ར་	ལ་	PART
དུ་	ལ་	PART
བཀོད་	བཀོད་	VERB
ཡོ་	ཡོ་	OTHER
༑		PUNCT
འདོད་རྒུ་	འདོད་རྒུ་	OTHER
སྟེར་	སྟེར་	VERB
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
བསྟན་	བསྟན་	VERB
དང་	དང་	NO_POS
འགྲོ་བ་	འགྲོ་བ་	VERB
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
ཁུ་	ཁུ་	NOUN
། །		PUNCT
མཐའ་དག་	མཐའ་དག་	DET
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
སྟོབས་ལྡན་པ་	སྟོབས་ལྡན་པ་	ADJ
། །		PUNCT
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
མཉམ་མེད་	མཉམ་མེད་	ADJ
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
རང་	རང་	PRON
དང་	དང་	NO_POS
སྐལ་མཉམ་	སྐལ་མཉམ་	OTHER
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
འབད་	འབད་	VERB
བྱ་	བྱ་	VERB
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
གང་	གང་	NO_POS
བཤད་པ་	བཤད་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
འདི་	འདི་	DET
དབུ་མ་	དབུ་མ་	PROPN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
ནི་	ནི་	NO_POS
༑		PUNCT
དབུ་མ་	དབུ་མ་	PROPN
།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ཟླ་བ་	ཟླ་བ་	NOUN
གྲགས་པ་	གྲགས་པ་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	PART
དབུ་མ་	དབུ་མ་	PROPN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ཞེ་	ཅེས་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཟབ་པ་	ཟབ་པ་	VERB
དང་	དང་	NO_POS
རྒྱ་ཆེ་བ་	རྒྱ་ཆེ་བ་	NO_POS
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
རྩ་ཤེ་	རྩ་ཤེ་	OTHER
འི་	གི་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
གྱིས་	གིས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
།		PUNCT
སྒྲ་	སྒྲ་	NOUN
བསྒྱུར་	བསྒྱུར་	VERB
ཉི་མ་	ཉི་མ་	NOUN
གྲག་	གྲག་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
འགྱུར་	འགྱུར་	VERB
གྱི་	གི་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་བ་	འཚལ་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
འགྱུར་	འགྱུར་	VERB
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
།		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
འི་	གི་	PART
དགྲ་བཅོམ་	དགྲ་བཅོམ་	NOUN
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	PART
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ཞེ་	ཅེས་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
གཞན་	གཞན་	DET
ལས་ལམ་	ལས་ལམ་	NO_POS
ཉན་	ཉན་	VERB
ཏེ་	སྟེ་	PART
ལམ་	གམ་	PART
དེ་	དེ་	DET
ས་	གིས་	PART
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
གཞན་	གཞན་	DET
ལ་	ལ་	PART
ཐོས་པ་	ཐོས་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
གྱིས་	གིས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
སྲ་བ་	སྲ་བ་	VERB
ཀ་ཐོ་	ཀ་ཐོ་	NO_POS
ས་	གིས་	PART
སྒྲོགས་	སྒྲོགས་	VERB
སུ་	ལ་	PART
བསྒྱུར་	བསྒྱུར་	VERB
ན་	ལ་	PART
།		PUNCT
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	PART
ཐོ་	ཐོ་	VERB
སྒྲོགས་	སྒྲོགས་	VERB
ཞེ་	ཅེས་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དང་	དང་	NO_POS
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
ལམ་	གམ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ལ་	ལ་	PART
ཐོ་	ཐོ་	VERB
ན་	ནས་	PART
དེ་དོན་	དེ་དོན་	PRON
གཉེར་	གཉེར་	VERB
ལ་	ལ་	PART
སྒྲོག་པ་	སྒྲོག་པ་	VERB
ཙམ་	ཙམ་	DET
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
རྒྱུ་མཚན་	རྒྱུ་མཚན་	NOUN
གྱིས་	གིས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
འི་	གི་	PART
འགྱུར་	འགྱུར་	VERB
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
ར་	ལ་	PART
དེ་རིང་	དེ་རིང་	ADV
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
འགྱུར་	འགྱུར་	VERB
ཞེ་	ཅེས་	PART
འབྱུང་	འབྱུང་	VERB
ཡང་	ཀྱང་	PART
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྡེ་	སྡེ་	NOUN
འི་	གི་	PART
འགྱུར་	འགྱུར་	VERB
དུ་	ལ་	PART
།		PUNCT
དེ་རིང་	དེ་རིང་	ADV
སྒྲོག་པ་	སྒྲོག་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཅེས་	ཅེས་	PART
དང་	དང་	NO_POS
༑		PUNCT
སྒྲོག་པ་	སྒྲོག་པ་	VERB
མི་	མི་	PART
བཟད་	བཟད་	NOUN
འདྲ་	འདྲ་	VERB
།		PUNCT
ཞེས་་	ཞེས་པ་	PART
བདེ་	བདེ་	VERB
འོ་	གོ་	PART
། །		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
འབྲིང་	འབྲིང་	NOUN
།		PUNCT
སྐབས་	སྐབས་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
ར་	ལ་	PART
ཏ་	ཏ་	OTHER
ཏྭ་		NON_WORD
བུད་	བུད་	VERB
དྷ་		NON_WORD
ཞེས་་	ཞེས་པ་	PART
